ticker,forecast_time,news_time,news_title,title,text,cleaned_text,price_5d_return,volume_change_pct,label
AAPL,2023-01-10 09:00:00,2023-01-10 04:24:59,"Illumina, the DNA sequencing giant, gives Wall Street bad news","Illumina, the DNA sequencing giant, gives Wall Street bad news","Illumina, the world's largest maker of DNA sequencing technology, has delivered disappointing news to investors, announcing a lower profit outlook for 2023. The company, which has successfully driven down the cost of sequencing a human genome, is now facing challenges due to its own success and uncertainties in funding for genetic research. Consequently, Illumina's stock price has significantly dropped from its peak in 2021.","illumina, the dna sequencing giant, gives wall street bad news illumina, the world's largest maker of dna sequencing technology, has delivered disappointing news to investors, announcing a lower profit outlook for 2023. the company, which has successfully driven down the cost of sequencing a human genome, is now facing challenges due to its own success and uncertainties in funding for genetic research. consequently, illumina's stock price has significantly dropped from its peak in 2021.",0.04525462578176587,-0.09739401165123152,UP
AAPL,2023-01-11 09:00:00,2023-01-11 04:57:25,Apple debuts free tool to help businesses get noticed,Apple debuts free tool to help businesses get noticed,"Apple has launched a new free online tool called Apple Business Connect, designed to help businesses customize their information cards in Apple Maps and other services. This allows businesses to update details like hours, add photos, promote limited-time offers, and access analytics. The initiative aims to provide useful local information and potentially attract more engagement from merchants and consumers.","apple debuts free tool to help businesses get noticed apple has launched a new free online tool called apple business connect, designed to help businesses customize their information cards in apple maps and other services. this allows businesses to update details like hours, add photos, promote limited-time offers, and access analytics. the initiative aims to provide useful local information and potentially attract more engagement from merchants and consumers.",0.05642612257338331,0.08705838531868881,HOLD
AAPL,2023-01-12 09:00:00,2023-01-12 04:52:00,Buffett-Backed Taiwan Semiconductor Braces for Chip-Sector Downturn,Buffett-Backed Taiwan Semiconductor Braces for Chip-Sector Downturn,"Taiwan Semiconductor Manufacturing (TSMC) reported record profits for its fourth quarter, exceeding analyst expectations, but also issued a warning about a potential downturn in demand for 2023. This news comes as the company, backed by Warren Buffett's Berkshire Hathaway, indicates higher costs for building facilities in the U.S. compared to Taiwan. TSMC is preparing for a challenging period in the chip sector despite its strong recent financial performance.","buffett-backed taiwan semiconductor braces for chip-sector downturn taiwan semiconductor manufacturing (tsmc) reported record profits for its fourth quarter, exceeding analyst expectations, but also issued a warning about a potential downturn in demand for 2023. this news comes as the company, backed by warren buffett's berkshire hathaway, indicates higher costs for building facilities in the u.s. compared to taiwan. tsmc is preparing for a challenging period in the chip sector despite its strong recent financial performance.",0.06710932046332196,0.02765232389225858,UP
AAPL,2023-01-13 09:00:00,2023-01-13 04:52:00,How Both Taiwan and the US Can Benefit from TSMC's Investment,How Both Taiwan and the US Can Benefit from TSMC's Investment,"Taiwan Semiconductor Manufacturing Co. (TSMC) is increasing its investment in the U.S. to $40 billion, building a second factory in Phoenix, Arizona. This move, supported by the CHIPS and Science Act, aims to strengthen the U.S. domestic semiconductor industry and diversify global supply chains. Experts suggest that while complete self-sufficiency for the U.S. might be unrealistic, this investment helps address critical dependencies, enhances national security, and fosters innovation in chip manufacturing.","how both taiwan and the us can benefit from tsmc's investment taiwan semiconductor manufacturing co. (tsmc) is increasing its investment in the u.s. to $40 billion, building a second factory in phoenix, arizona. this move, supported by the chips and science act, aims to strengthen the u.s. domestic semiconductor industry and diversify global supply chains. experts suggest that while complete self-sufficiency for the u.s. might be unrealistic, this investment helps address critical dependencies, enhances national security, and fosters innovation in chip manufacturing.",0.03965437110996217,-0.19010893868836476,UP
AAPL,2023-01-17 09:00:00,2023-01-17 04:05:21,Biometric Sensors Market Size to Touch USD 3.5829 million by 2030 According to Acumen Research and Consulting,Biometric Sensors Market Size to Touch USD 3.5829 million by 2030 According to Acumen Research and Consulting,"The global biometric sensors market is projected to grow from USD 1.3195 million in 2021 to USD 3.5829 million by 2030, exhibiting a compound annual growth rate (CAGR) of 11.9% from 2022 to 2030. This growth is driven by increasing demand for secure authentication, advancements in technology, and wider adoption in various sectors like healthcare, banking, and government. Despite its growth, the market faces challenges due to lack of standardization, high implementation costs, and privacy concerns.","biometric sensors market size to touch usd 3.5829 million by 2030 according to acumen research and consulting the global biometric sensors market is projected to grow from usd 1.3195 million in 2021 to usd 3.5829 million by 2030, exhibiting a compound annual growth rate (cagr) of 11.9% from 2022 to 2030. this growth is driven by increasing demand for secure authentication, advancements in technology, and wider adoption in various sectors like healthcare, banking, and government. despite its growth, the market faces challenges due to lack of standardization, high implementation costs, and privacy concerns.",0.04448719797503031,0.1009674846954749,DOWN
AAPL,2023-01-18 09:00:00,2023-01-18 05:21:00,Temu Review: What Is Temu and Why Is It Suddenly America’s Most Popular App?,Temu Review: What Is Temu and Why Is It Suddenly America’s Most Popular App?,"Temu, the American sister brand of China's Pinduoduo, has rapidly become America's most popular shopping app since its U.S. launch last fall. Its success is primarily attributed to extremely low prices, free shipping, and aggressive advertising. While the author found good deals on certain electronics and kitchen items, he advises caution on other categories and notes the app's business model involves cutting out middlemen for direct sales.","temu review: what is temu and why is it suddenly america’s most popular app? temu, the american sister brand of china's pinduoduo, has rapidly become america's most popular shopping app since its u.s. launch last fall. its success is primarily attributed to extremely low prices, free shipping, and aggressive advertising. while the author found good deals on certain electronics and kitchen items, he advises caution on other categories and notes the app's business model involves cutting out middlemen for direct sales.",0.034269189418969725,0.09468219826353641,HOLD
AAPL,2023-01-19 09:00:00,2023-01-19 04:35:32,"Netflix’s Reed Hastings steps aside as co-CEO, stays on as executive chairman","Netflix’s Reed Hastings steps aside as co-CEO, stays on as executive chairman","Netflix co-founder Reed Hastings has stepped down as co-CEO, transitioning to executive chairman, with COO Greg Peters joining Ted Sarandos as co-CEO. This leadership change comes as Netflix aims to reaccelerate growth amid increased competition and a slowdown in subscriber numbers. The company reported slower fourth-quarter revenue but exceeded subscriber expectations, attributing success to popular shows and new initiatives like an ad-supported plan and paid password sharing.","netflix’s reed hastings steps aside as co-ceo, stays on as executive chairman netflix co-founder reed hastings has stepped down as co-ceo, transitioning to executive chairman, with coo greg peters joining ted sarandos as co-ceo. this leadership change comes as netflix aims to reaccelerate growth amid increased competition and a slowdown in subscriber numbers. the company reported slower fourth-quarter revenue but exceeded subscriber expectations, attributing success to popular shows and new initiatives like an ad-supported plan and paid password sharing.",0.01333432246647126,-0.16351287733520115,UP
AAPL,2023-01-20 09:00:00,2023-01-19 13:12:00,Apple’s Reliance On China Poses A Problem For The Company,Apple’s Reliance On China Poses A Problem For The Company,"This article discusses Apple's significant reliance on its supply chain in China and the challenges this poses for the company amidst growing geopolitical tensions and trade barriers between the US and China. It highlights how Apple's deep integration with Chinese manufacturing, including specialized labor and R&D, makes disentanglement difficult, even as the US government increases pressure through tariffs, forced labor prevention acts, and technology export controls. The article suggests that while Apple is starting to move some operations, achieving true independence from China will be a slow and arduous process.","apple’s reliance on china poses a problem for the company this article discusses apple's significant reliance on its supply chain in china and the challenges this poses for the company amidst growing geopolitical tensions and trade barriers between the us and china. it highlights how apple's deep integration with chinese manufacturing, including specialized labor and r&d, makes disentanglement difficult, even as the us government increases pressure through tariffs, forced labor prevention acts, and technology export controls. the article suggests that while apple is starting to move some operations, achieving true independence from china will be a slow and arduous process.",0.03343071233529127,0.3765107995140733,UP
AAPL,2023-01-23 09:00:00,2023-01-23 06:27:00,How Apple’s Upcoming Mixed-Reality Headset Will Work,How Apple’s Upcoming Mixed-Reality Headset Will Work,"Apple's upcoming mixed-reality headset, likely named Reality Pro, is an ambitious attempt to create a 3D version of iOS with advanced eye and hand-tracking. Priced around $3,000, it aims to revolutionize virtual meetings and immersive video, challenging Meta Platforms Inc.'s dominance in the VR industry. This launch marks Apple's first major new product category since the Apple Watch in 2015, representing a significant strategic move for the company.","how apple’s upcoming mixed-reality headset will work apple's upcoming mixed-reality headset, likely named reality pro, is an ambitious attempt to create a 3d version of ios with advanced eye and hand-tracking. priced around $3,000, it aims to revolutionize virtual meetings and immersive video, challenging meta platforms inc.'s dominance in the vr industry. this launch marks apple's first major new product category since the apple watch in 2015, representing a significant strategic move for the company.",0.04712085457374737,0.01915521118473862,UP
AAPL,2023-01-24 09:00:00,2023-01-24 03:59:02,Apple builds on privacy commitment by unveiling new education and awareness efforts on Data Privacy Day,Apple builds on privacy commitment by unveiling new education and awareness efforts on Data Privacy Day,"In celebration of Data Privacy Day, Apple has launched new educational resources to help users manage their data. These efforts include a ""Today at Apple"" session focusing on iPhone privacy features and a partnership with Nick Mohammed for a short film titled ""A Day in the Life of an Average Person’s Data"" to raise awareness. Apple emphasizes that privacy is a fundamental human right, built into all its products and services.","apple builds on privacy commitment by unveiling new education and awareness efforts on data privacy day in celebration of data privacy day, apple has launched new educational resources to help users manage their data. these efforts include a ""today at apple"" session focusing on iphone privacy features and a partnership with nick mohammed for a short film titled ""a day in the life of an average person’s data"" to raise awareness. apple emphasizes that privacy is a fundamental human right, built into all its products and services.",0.04847724157376776,-0.18744060381383143,HOLD
